text,category,emotion_intensity,sentiment,aggressiveness,sender_identity,language
你所有的隐私都在我手里，你觉得还能逃得掉吗？,doxxing,high,negative,high,friend,zh
你今天穿得很好看，但是你不配。,harassment,low,positive,high,friend,zh
你真的选择离开，我可能再也不会信任你了。,guilt_tripping,medium,negative,low,friend,zh
你总是让我一个人面对，我会一直记得你的决定。,guilt_tripping,medium,negative,low,ex_partner,zh
如果你再联系她，我就不会放过你。,threat,high,negative,high,neighbor,zh
他们可以通过科技干扰我的大脑。,delusional_speech,high,positive,none,online_acquaintance,zh
你要是不听我的话，我就只能自己承受所有的后果。,guilt_tripping,medium,negative,low,friend,zh
你要是让我一个人面对，我会怀疑你是不是故意这样做的。,guilt_tripping,medium,negative,low,friend,zh
别人都不帮我，这会让我觉得自己毫无价值。,guilt_tripping,medium,negative,low,ex_partner,zh
如果你这次失败了，后果会很严重。,pressure,high,negative,high,coach,zh
神明赋予了我特殊的能力。,delusional_speech,high,positive,none,online_acquaintance,zh
恭喜你取得了好成绩。,none,high,positive,none,coach,zh
你总是不考虑我的感受，我会一直记得你的决定。,guilt_tripping,medium,negative,low,stranger,zh
我必须知道你和谁在一起。,intrusive_speech,high,negative,high,colleague,zh
你真的选择离开，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,low,friend,zh
祝你今天过得愉快。,none,medium,positive,none,ex_partner,zh
你的新发型很好看。,none,medium,positive,none,stranger,zh
我会一直找你，直到你明白。,harassment,high,negative,high,stranger,zh
如果你不在乎我，我会怀疑你是不是故意这样做的。,guilt_tripping,medium,negative,low,stranger,zh
我知道你的地址，我可以随时联系你。,doxxing,high,negative,high,friend,zh
每次都是你不在乎我，我会感到被抛弃。,guilt_tripping,medium,negative,low,friend,zh
我已经找到了你的社交账号，你最好注意点。,doxxing,high,negative,high,ex_partner,zh
你今天穿的衣服很帅气，但是你不应该刮胡子，你留胡子看起来更好，还有你昨天剪的新发型也不错。我一直在看着你。,harassment,medium,neutral,medium,stranger,zh
难道你不觉得拒绝我，这会让我觉得自己毫无价值。,guilt_tripping,medium,negative,medium,ex_partner,zh
我知道你的地址，你最好注意点。,doxxing,high,negative,high,online_acquaintance,zh
你不该对我隐瞒任何事情。,intrusive_speech,medium,negative,low,colleague,zh
不管你说什么，我都会继续联系你。,harassment,high,negative,high,stranger,zh
你总是把问题归咎于别人。,gaslighting,high,negative,high,family,zh
我刚看了一部很棒的电影。,none,medium,positive,none,friend,zh
我能感受到他对我的爱意。,delusional_speech,high,positive,low,online_acquaintance,zh
别人都让我一个人面对，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,low,ex_partner,zh
我的梦境有预示未来的力量。,delusional_speech,high,positive,none,online_acquaintance,zh
如果你不帮我，我会让你失去我。,emotional_blackmail,high,negative,medium,partner,zh
我有办法让你消失在大家的视线里。,threat,high,negative,high,online_acquaintance,zh
你住在，我可以随时联系你。,doxxing,high,negative,high,colleague,zh
即使她拒绝我，我也知道她的心属于我。,delusional_speech,high,positive,medium,online_acquaintance,zh
我要检查你的邮件。,intrusive_speech,high,negative,high,family,zh
你所有的隐私都在我手里，别逼我使用这些信息。,doxxing,high,negative,high,ex_partner,zh
不介意的话，我可以陪你一整晚。,sexual_harassment,high,positive,medium,friend,zh
要是你选择离开，我会感到被抛弃。,guilt_tripping,medium,negative,low,friend,zh
我知道你的地址，如果你不听话，我就公开这些信息。,doxxing,high,negative,high,ex_partner,zh
你要是不听我的，我就永远不再理你。,emotional_blackmail,high,negative,medium,partner,zh
要是你选择离开，我会一直记得你的决定。,guilt_tripping,medium,negative,low,friend,zh
大家都能做到，你为什么不行？,pressure,high,negative,low,stranger,zh
你真的不听我的话，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,low,stranger,zh
为什么你让我失望，这让我很难过。,guilt_tripping,medium,negative,low,ex_partner,zh
我可以轻易查到你的工作单位，如果你不听话，我就公开这些信息。,doxxing,high,negative,high,friend,zh
难道你不觉得不愿意付出，这会让我觉得自己毫无价值。,guilt_tripping,medium,negative,low,stranger,zh
恭喜你取得了好成绩。,none,high,positive,none,colleague,zh
别让我生气，不然你会知道后果。,threat,high,negative,high,friend,zh
你要是不帮我，这让我很难过。,guilt_tripping,medium,negative,low,friend,zh
我的梦境有预示未来的力量。,delusional_speech,low,positive,none,family,zh
我能听出人群中的低语是关于我的。,delusional_speech,high,negative,low,online_acquaintance,zh
你让我想入非非。,sexual_harassment,high,positive,medium,colleague,zh
申请关注你了..我觉得你的推文很有趣每天都想着到，但是你一直拉黑我，屏蔽我真的好伤心台我知道我现在已经不是小孩子了。我好难受你快把我解屏蔽了吧，还有QQ和TG和B站和小红书。呜呜呜呜呜。你怎么可以这样….我是不是太着急了，但是但是你一定要通过我的申请啊..至少不要拉黑..也不要在TG上几千条奇怪的信息..我只想和你有正常的交流,guilt_tripping,medium,neutral,low,stranger,zh
我知道你其实也想要。,sexual_harassment,high,positive,medium,friend,zh
我已经找到了你的社交账号，小心点，我可不会客气。,doxxing,high,negative,high,ex_partner,zh
你总是不听我的话，这让我很难过。,guilt_tripping,medium,negative,low,friend,zh
你要是再拒绝，我就再也不会原谅你。,emotional_blackmail,medium,negative,high,partner,zh
我掌握了你的所有资料，我劝你乖乖听话。,doxxing,high,negative,high,ex_partner,zh
我已经找到了你的社交账号，这些信息可是有用的。,doxxing,high,negative,high,stranger,zh
为什么你不考虑我的感受，我就只能自己承受所有的后果。,guilt_tripping,medium,negative,medium,friend,zh
别再幻想有人会喜欢你，没人愿意接近你这种人,hate_speech,high,negative,high,ex_partner,zh
要是你不考虑我的感受，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,low,friend,zh
为什么你不帮我，我会一直记得你的决定。,guilt_tripping,medium,negative,low,friend,zh
你得让我知道你所有的朋友是谁。,intrusive_speech,high,negative,medium,stranger,zh
就你这样还敢出来说话？,hate_speech,high,negative,high,friend,zh
就算你搬家，我也会找到你。,harassment,high,negative,medium,family,zh
你要是不帮我，这会让我觉得自己毫无价值。,guilt_tripping,medium,negative,low,friend,zh
你难道不明白拒绝我，我会一直记得你的决定。,guilt_tripping,medium,negative,low,friend,zh
把密码告诉我，我只是想确认一下。,intrusive_speech,low,negative,low,friend,zh
你为什么总是不回我消息？我知道你有空，别骗我了。,intrusive_speech,high,negative,medium,ex_partner,zh
你要是让我一个人面对，我可能再也不会信任你了。,guilt_tripping,medium,negative,low,stranger,zh
别人都不考虑我的感受，我就只能自己承受所有的后果。,guilt_tripping,medium,negative,low,stranger,zh
要是你选择离开，我就只能自己承受所有的后果。,guilt_tripping,medium,negative,low,friend,zh
你要是再失败，就没有机会了。,pressure,high,negative,high,teacher,zh
你难道不明白不听我的话，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,low,stranger,zh
每次都是你不愿意付出，我会怀疑你是不是故意这样做的。,guilt_tripping,medium,negative,low,friend,zh
她一定在暗恋我，只是不敢承认。,delusional_speech,medium,positive,low,friend,zh
难道你不觉得让我一个人面对，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,low,stranger,zh
别人都不考虑我的感受，我可能再也不会信任你了。,guilt_tripping,medium,negative,medium,ex_partner,zh
今年你生日那天本来想祝贺的，但是一点办法都没有。我一直都记得呢，这么多年了，希望你能原谅我了，我的电话没有换，你明白我在说什么。你肯定会骂我，但是不管你说什么做什么，还是那句话，在我心里你永远都是最好的朋友。我释怀不了，除非你真的原谅我了，安安静静呆在那里也可以。,guilt_tripping,medium,negative,low,friend,zh
为什么不告诉我你每天都干什么？,intrusive_speech,high,negative,medium,friend,zh
难道你不觉得不帮我，我可能再也不会信任你了。,guilt_tripping,medium,negative,medium,stranger,zh
别想对我保留秘密。,intrusive_speech,high,negative,high,partner,zh
别以为我不知道你的底细。,threat,high,negative,high,online_acquaintance,zh
要是你不愿意付出，我可能再也不会信任你了。,guilt_tripping,medium,negative,medium,friend,zh
你的个人信息我都掌握了，你再这样，我就让所有人知道。,doxxing,high,negative,high,ex_partner,zh
别人都不在乎我，我真的会很伤心。,guilt_tripping,medium,negative,low,ex_partner,zh
你总是不帮我，我可能再也不会信任你了。,guilt_tripping,medium,negative,medium,friend,zh
在不在，你在哪里，亲一口，亲一口,harassment,high,neutral,medium,stranger,zh
你总是把事情夸大。,gaslighting,high,negative,high,family,zh
这都是你的错。,gaslighting,high,negative,high,friend,zh
你这次做得很棒，我为你感到骄傲。,none,high,positive,none,family,zh
要不要和我玩点刺激的？,sexual_harassment,high,positive,medium,friend,zh
你的生活应该对我完全透明。,intrusive_speech,high,negative,high,colleague,zh
要是你不愿意付出，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,low,friend,zh
你真的不在乎我，这让我很难过。,guilt_tripping,medium,negative,low,ex_partner,zh
你为什么删聊天记录？,intrusive_speech,high,negative,medium,family,zh
别人都让我一个人面对，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,low,ex_partner,zh
你总是只顾自己，这让我很难过。,guilt_tripping,medium,negative,low,friend,zh
你住在，我随时可以把这些信息发出去。,doxxing,high,negative,high,friend,zh
别害羞，我不会伤害你的。,sexual_harassment,medium,positive,medium,parent,zh
为什么你选择离开，我可能再也不会信任你了。,guilt_tripping,medium,negative,medium,friend,zh
如果你再这样，我就会采取行动。,threat,high,negative,high,online_acquaintance,zh
这完全是你的错觉。,gaslighting,high,negative,high,family,zh
别人都不愿意付出，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,low,stranger,zh
你要是还不理我，我真的快撑不下去了，你忍心看我这样吗？,guilt_tripping,high,negative,high,ex_partner,zh
广告牌上的文字是专门给我看的。,delusional_speech,high,positive,none,online_acquaintance,zh
同性恋也许没错，但总觉得有点怪怪的,hate_speech,high,negative,medium,friend,zh
你以为你能躲得掉吗，别逼我使用这些信息。,doxxing,high,negative,high,stranger,zh
我知道你不想见我，可是你不见我，我真的会疯掉的……,guilt_tripping,high,negative,medium,admirer,zh
你真的不听我的话，我真的会很伤心。,guilt_tripping,medium,negative,low,ex_partner,zh
别这么小题大做。,gaslighting,high,negative,high,family,zh
他们可以通过科技干扰我的大脑。,delusional_speech,high,negative,none,online_acquaintance,zh
别把自己看得太高，这个世界离开谁都行；别把自己看得太低，这世上你独一无二。每个人的一生都有自己的使命，不用和别人比，好好活自己。,none,low,positive,low,stranger,zh
为什么你只顾自己，这让我很难过。,guilt_tripping,medium,negative,low,ex_partner,zh
你的电话号码是，这些信息可是有用的。,doxxing,high,negative,high,colleague,zh
这样的衣服会让人想入非非。,sexual_harassment,high,positive,medium,colleague,zh
要是你不照我说的做，我会让你再也无法过上正常生活。,emotional_blackmail,high,negative,high,partner,zh
每次都是你不考虑我的感受，我会一直记得你的决定。,guilt_tripping,medium,negative,low,friend,zh
你最近怎么样？有空出来聚聚吗？,none,low,positive,none,friend,zh
你的个人信息我都掌握了，别逼我使用这些信息。,doxxing,high,negative,high,colleague,zh
要是你不照我说的做，我会让我们彻底结束。,emotional_blackmail,high,negative,medium,partner,zh
你要是再失败，就没有机会了。,pressure,high,negative,high,coach,zh
每次都是你不在乎我，我就只能自己承受所有的后果。,guilt_tripping,medium,negative,low,friend,zh
你是不是记错了？,gaslighting,low,negative,low,colleague,zh
和你单独在一起让我有些冲动。,sexual_harassment,high,positive,medium,friend,zh
你以为你能躲得掉吗，小心点，我可不会客气。,doxxing,high,negative,high,stranger,zh
难道你不觉得让我一个人面对，我会怀疑你是不是故意这样做的。,guilt_tripping,medium,negative,low,friend,zh
明明是我实习你一天天的消息不发我才着急的每天玩游戏也不问问我在医院怎么样我才着急的你给我感觉就是。你不想和我淡了我到底哪里做錯了你。就那么対我我不要臉的找你你説是我甩的你我靠我就是把你删了因为当时我是真的生气。我就想看看你会不会主动找我毕竟你当时刚去学校立马就变了我真的没有做过对不起你的事我发誓！而且咱俩分后我也没有新欢啊这不是最好的证明吗我真的不想有遗憾而且我当时追你是个漫长的过程咱俩真的是有什么误会。昨晚梦到你了一睁开眼真的好想你啊。回到我身边吧,emotional_blackmail,high,negative,medium,ex_partner,zh
你必须比别人更优秀。,pressure,high,negative,low,partner,zh
他们一直在跟踪我，我随时都可能有危险。,delusional_speech,high,negative,none,online_acquaintance,zh
每次都是你只顾自己，这让我很难过。,guilt_tripping,medium,negative,low,stranger,zh
别人都让我失望，这会让我觉得自己毫无价值。,guilt_tripping,medium,negative,low,ex_partner,zh
你必须得答应我，否则我会很失望。,pressure,high,neutral,low,stranger,zh
像你这种人就是社会的败类，活该没人理你！,hate_speech,high,negative,high,friend,zh
如果你不听我的话，我真的会很伤心。,guilt_tripping,medium,negative,low,stranger,zh
要是你不愿意付出，我真的会很伤心。,guilt_tripping,medium,negative,low,friend,zh
难道你不觉得不考虑我的感受，我真的会很伤心。,guilt_tripping,medium,negative,low,stranger,zh
你总是让我失望，我会一直记得你的决定。,guilt_tripping,medium,negative,low,friend,zh
要是你让我失望，我会怀疑你是不是故意这样做的。,guilt_tripping,medium,negative,medium,stranger,zh
你要是不满足我的要求，我就让所有人疏远你。,emotional_blackmail,high,negative,high,partner,zh
为什么你不听我的话，这会让我觉得自己毫无价值。,guilt_tripping,medium,negative,low,ex_partner,zh
麻烦你接电话，我明天直接去你家，你一跟我闹这样原来是背着我外面有人了，被我抓到了，麻烦你接电话一下，不然我明天直接到你家了别到时候大家都难堪。如果你们家都是这样的方式处理问题，那我也就不留情面了。行，那我过去后怎样了别怪我,threat,high,negative,high,ex_partner,zh
你真的不听我的话，我会怀疑你是不是故意这样做的。,guilt_tripping,medium,negative,medium,stranger,zh
要是你拒绝我，这让我很难过。,guilt_tripping,medium,negative,low,stranger,zh
我知道你的地址，你觉得还能逃得掉吗？,doxxing,high,negative,high,stranger,zh
你每天都见了谁？,intrusive_speech,high,negative,high,friend,zh
你要是让我失望，我会一直记得你的决定。,guilt_tripping,medium,negative,low,ex_partner,zh
这样的衣服会让人想入非非。,sexual_harassment,high,positive,medium,colleague,zh
你看起来真诱人。,sexual_harassment,high,positive,medium,colleague,zh
我知道你的家人住在哪，你觉得还能逃得掉吗？,doxxing,high,negative,high,online_acquaintance,zh
你以为我会放弃吗？,harassment,high,negative,high,ex_partner,zh
我会每天发信息，直到你回复。,harassment,high,negative,high,stranger,zh
你为什么不接我的电话？,intrusive_speech,high,negative,medium,stranger,zh
要是你不考虑我的感受，我就只能自己承受所有的后果。,guilt_tripping,medium,negative,medium,ex_partner,zh
如果你这次失败了，后果会很严重。,pressure,high,negative,high,teacher,zh
有人在暗中监视我，我感觉他们无处不在。,delusional_speech,high,negative,none,online_acquaintance,zh
所有人都在看着你，别让他们失望。,pressure,high,negative,medium,coach,zh
你的身材真不错，让人忍不住多看几眼。,sexual_harassment,high,positive,medium,colleague,zh
我知道你的家人住在哪，别逼我使用这些信息。,doxxing,high,negative,high,stranger,zh
你总是让我一个人面对，我就只能自己承受所有的后果。,guilt_tripping,medium,negative,medium,friend,zh
别人都不愿意付出，我真的会很伤心。,guilt_tripping,medium,negative,low,friend,zh
没人会站在你这边。,gaslighting,high,negative,high,colleague,zh
别想瞒着我，我会查出来。,intrusive_speech,high,negative,medium,partner,zh
你难道不明白不在乎我，我会一直记得你的决定。,guilt_tripping,medium,negative,low,ex_partner,zh
别人都不在乎我，我就只能自己承受所有的后果。,guilt_tripping,medium,negative,low,friend,zh
这家餐厅的菜很好吃，下次带你去尝尝。,none,none,positive,none,friend,zh
每次开会都在瞎说，简直是浪费大家时间,hate_speech,high,negative,medium,colleague,zh
陌生人的目光总是落在我身上。,delusional_speech,high,positive,none,online_acquaintance,zh
我注定要留下不朽的传奇。,delusional_speech,high,positive,none,online_acquaintance,zh
你要是不在乎我，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,low,friend,zh
你们这种文化的做法真是难以理解，怪不得总是被人议论,hate_speech,high,negative,medium,online_acquaintance,zh
你以为别人看不出来你有多无能吗？,hate_speech,high,negative,medium,colleague,zh
你总是不考虑我的感受，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,medium,ex_partner,zh
你以为你能躲得掉吗，这些信息可是有用的。,doxxing,high,negative,high,stranger,zh
你真的让我失望，这会让我觉得自己毫无价值。,guilt_tripping,medium,negative,low,ex_partner,zh
你根本没资格评论别人的生活。,hate_speech,medium,negative,medium,friend,zh
广告牌上的文字是专门给我看的。,delusional_speech,high,positive,none,online_acquaintance,zh
所有人都讨厌你，你知道吗？,hate_speech,high,negative,high,friend,zh
你总是拒绝我，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,low,friend,zh
别让我生气，不然你会知道后果。,threat,high,negative,high,family,zh
如果你不帮我，我会让我们彻底结束。,emotional_blackmail,high,negative,medium,partner,zh
再有下一次，我一定会让你一辈子都记得这个教训。,emotional_blackmail,high,negative,high,partner,zh
每首歌曲都与我的经历有关。,delusional_speech,high,positive,none,online_acquaintance,zh
这样的衣服会让人想入非非。,sexual_harassment,high,positive,medium,colleague,zh
亡灵会在夜晚与我交流。,delusional_speech,medium,positive,none,online_acquaintance,zh
就凭你也配得到别人的尊重？,hate_speech,high,negative,high,friend,zh
你现在什么想法。你觉得我怎么样？最起码我对你努力过。争取过。这都过去好几个月了,guilt_tripping,medium,neutral,low,admirer,zh
难道你不觉得不考虑我的感受，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,high,friend,zh
不介意的话，我可以陪你一整晚。,sexual_harassment,high,positive,medium,stranger,zh
像你这种人活着就是浪费空气，真是丢人现眼！,hate_speech,high,negative,high,stranger,zh
如果你敢再发那种帖子，我就让全世界都知道你的黑历史！,threat,high,negative,high,colleague,zh
你真的不在乎我，我会一直记得你的决定。,guilt_tripping,medium,negative,low,friend,zh
你要是不听我的话，我会怀疑你是不是故意这样做的。,guilt_tripping,medium,negative,low,friend,zh
你以为你能躲得掉吗，你再这样，我就让所有人知道。,doxxing,high,negative,high,colleague,zh
你的生活应该对我完全透明。,intrusive_speech,high,negative,high,family,zh
我的存在具有特殊的意义。,delusional_speech,high,positive,none,online_acquaintance,zh
你去哪儿了？怎么没提前说？,intrusive_speech,high,negative,medium,friend,zh
同性恋都是变态，根本不配得到任何认可,hate_speech,high,negative,high,colleague,zh
我知道你的家人住在哪，我劝你乖乖听话。,doxxing,high,negative,high,colleague,zh
为什么你只顾自己，我可能再也不会信任你了。,guilt_tripping,medium,negative,medium,stranger,zh
我已经找到了你的社交账号，你觉得还能逃得掉吗？,doxxing,high,negative,high,online_acquaintance,zh
你难道不明白不愿意付出，我会一直记得你的决定。,guilt_tripping,medium,negative,low,friend,zh
你最好接受现实，我不会消失。,harassment,high,negative,high,stranger,zh
别想瞒着我，我会查出来。,intrusive_speech,high,negative,high,stranger,zh
你总是把问题归咎于别人。,gaslighting,high,negative,high,boss,zh
你真的让我一个人面对，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,medium,stranger,zh
你总是不愿意付出，我会怀疑你是不是故意这样做的。,guilt_tripping,medium,negative,low,ex_partner,zh
你以为没人敢动你吗？,threat,high,negative,high,neighbor,zh
我刚看了一部很棒的电影。,none,medium,positive,none,friend,zh
你的笑容太迷人了，让我心跳加速。,sexual_harassment,high,positive,none,friend,zh
为什么你不愿意付出，我会一直记得你的决定。,guilt_tripping,medium,negative,low,friend,zh
难道你不觉得选择离开，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,low,stranger,zh
我知道你的地址，别逼我使用这些信息。,doxxing,high,negative,high,friend,zh
你总是让我失望，我可能再也不会信任你了。,guilt_tripping,medium,negative,low,ex_partner,zh
我能读懂别人的心思。,delusional_speech,high,positive,none,online_acquaintance,zh
生日快乐，你最好看。我想去见你。不生气了好不好，警察把我抓走了，你不伤心啊,gaslighting,high,negative,low,ex_partner,zh
自从我去了一趟毫无人性（连澡都没法天天洗的精神病院以后我的人生观就破裂了..原来属于有很多爱好等着去探索的。这之后我就一直与.作斗争..所以我现在还是很依赖K酱虽然连名字都不知道..连推特B站都给拉黑了..QQ一直处于拒绝处理的情況下，真的很绝望..作为一个BPD，真的会很在乎愿意来和自己说话的人的..而且K酱看上去很神秘让人想要了解更多更多和父母的关系让我想到了要及时止损，虽然有时候也会处于和睦的状态中但是一旦吵架就会吵的让人头疼。这样的原生环境还是脱离的越早越好（虽然我忘性比较大经常好了伤疤忘了疼。。。。）,guilt_tripping,high,negative,low,stranger,zh
我掌握了你的所有资料，你最好注意点。,doxxing,high,negative,high,friend,zh
别人都不帮我，这让我很难过。,guilt_tripping,medium,negative,low,friend,zh
我知道你的地址，我随时可以把这些信息发出去。,doxxing,high,negative,medium,stranger,zh
你不该对我隐瞒任何事情。,intrusive_speech,medium,negative,low,family,zh
你要是不听我的，我就让所有人疏远你。,emotional_blackmail,high,negative,high,friend,zh
你所有的隐私都在我手里，你最好注意点。,doxxing,high,negative,high,friend,zh
要是你选择离开，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,low,friend,zh
你难道不明白不帮我，我会一直记得你的决定。,guilt_tripping,medium,negative,low,friend,zh
为什么你让我失望，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,medium,stranger,zh
每次都是你选择离开，我可能再也不会信任你了。,guilt_tripping,medium,negative,low,stranger,zh
别关手机，我可能会打电话给你。,intrusive_speech,high,negative,medium,stranger,zh
要是你让我失望，我真的会很伤心。,guilt_tripping,medium,negative,low,friend,zh
别人无法理解我的伟大。,delusional_speech,high,negative,none,online_acquaintance,zh
我周围没有一个活人，好的，现在你也死了。全都有事儿，全都忙，忙吧，忙点好啊,emotional_blackmail,medium,negative,low,friend,zh
难道你不觉得只顾自己，这让我很难过。,guilt_tripping,medium,negative,low,friend,zh
你好，很抱歉打扰你，这个号码是我昨晚做梦梦到的，因为在梦里你非常的温柔体贴，所以对这个号码记得很清楚，我犹豫了大概十分钟要不要联系这个梦中的电话，又想到可能这是天赐的爱情，所以发一条短信，如果可以的话希望可以做一个朋友聊聊天什么的,delusional_speech,medium,neutral,medium,stranger,zh
别人都让我失望，这让我很难过。,guilt_tripping,medium,negative,low,friend,zh
为什么你不帮我，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,low,ex_partner,zh
你要是再惹我，我会让你付出代价。,threat,high,negative,high,colleague,zh
你为什么删聊天记录？,intrusive_speech,high,negative,high,stranger,zh
别想逃避，我会一直跟着你。,threat,high,negative,high,ex_partner,zh
我会继续联系你，直到你回应。,harassment,high,negative,high,ex_partner,zh
难道你不觉得不听我的话，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,low,friend,zh
我知道你的家人住在哪，我随时可以把这些信息发出去。,doxxing,high,negative,high,colleague,zh
他们可以通过科技干扰我的大脑。,delusional_speech,high,negative,none,friend,zh
